DEMREL07,DEMID07,DEMSN07,RELPCG07,RELOCG07,SIBIND07,CH07PRWT,CH07WT,PCGRES07,OCGRES07,ASMRES07,CHRES07,TDRES07,CCDRES07,IWER07,SBLNUM07,BIOPR07,BIOGPR07
2,2900,3,1,4,5,31.124001,33.973,1,1,1,1,1,1,3033,1,1,2
2,6378,3,1,4,5,12.626,13.042,1,1,1,1,1,1,3038,1,1,2
2,4383,3,1,5,5,23.431999,23.884001,1,1,1,1,1,1,3005,1,2,2
2,4256,3,1,5,5,11.086,12.766,1,1,1,1,1,1,3017,1,2,2
2,3354,2,1,2,5,6.8460002,7.224,1,1,1,1,1,1,3023,1,2,2
2,6665,3,1,0,5,20.162001,23.054001,1,0,1,1,1,1,3015,1,2,2
2,2223,2,4,0,1,23.667,25.624001,1,0,1,1,1,1,3015,2,3,2
2,1735,5,2,4,1,27.438,30.097,1,1,1,1,1,1,3015,3,3,2
2,2223,3,4,0,1,23.388,25.115999,1,0,1,1,1,1,3015,2,3,2
2,1735,6,2,4,1,27.58,30.825001,1,1,1,1,1,1,3015,3,3,2
2,2206,3,1,4,5,14.236,15.155,1,1,1,1,1,1,3013,1,1,2
2,468,3,1,4,5,24.549999,25.125,1,1,1,1,1,1,3013,0,1,2
2,1956,4,1,4,5,10.137,10.617,1,1,1,1,1,1,3013,1,1,2
2,793,3,1,6,1,16.747,17.382,1,1,1,1,1,1,3013,4,2,2
2,793,4,1,6,1,16.530001,17.069,1,1,1,1,1,1,3013,4,2,2
2,287,3,1,4,5,11.604,11.855,1,1,1,1,1,1,3013,2,1,2
2,7758,4,1,0,1,19.408001,20.749001,1,0,1,1,1,1,3044,2,2,2
2,6616,4,1,4,5,10.976,11.832,1,1,1,1,1,1,3040,1,1,2
2,7758,3,1,0,1,19.74,21.280001,1,0,1,1,1,1,3044,2,2,2
2,1944,4,1,4,5,20.724001,0,1,1,5,5,5,5,3037,1,1,0
2,6985,3,1,4,5,26.718,30.504999,1,1,1,1,1,1,3037,9,1,2
2,1419,5,1,4,5,35.269001,39.569,1,1,1,1,1,1,3037,2,1,2
2,4834,2,1,0,5,35.339001,0,1,0,5,5,5,5,3047,0,2,2
2,5455,3,1,4,5,23.966999,0,1,5,5,5,5,5,3048,1,1,0
2,3587,3,1,4,5,16.815001,17.955999,1,1,1,1,1,1,3033,1,1,2
2,1467,3,1,4,5,32.764999,33.945,1,1,1,1,1,0,3001,2,1,2
2,5229,2,3,0,5,22.127001,24.596001,1,0,1,1,1,1,3008,96,4,0
2,399,3,1,4,5,16.037001,16.903,1,1,1,1,1,1,3043,1,1,2
2,933,5,4,1,5,25.874001,28.712,1,1,1,1,1,1,3043,2,1,0
2,2590,3,1,4,5,18.086,20.604,1,1,1,1,1,1,3042,2,1,2
2,4295,2,1,0,5,5.8779998,6.5840001,1,0,1,1,1,1,3042,0,2,2
2,3017,3,1,5,1,14.8,16.037001,1,1,1,1,1,0,3040,1,2,2
2,3017,4,1,5,1,14.7,15.861,1,1,1,1,1,1,3040,1,2,2
2,4945,3,1,4,1,28.572001,31.018,1,1,1,1,1,0,3047,2,1,2
2,4945,4,1,4,1,27.917999,30.025,1,1,1,1,1,0,3047,2,1,2
2,4126,4,1,5,5,53.313999,53.011002,1,1,1,1,1,1,3018,2,2,2
