CHILDID07,CHILDSN07,PCGID07,PCGSN07,CDSHID07,PCGINST07,PCG68ID07,PCGPN07
2909,3,2909,2,430,1,1612,170
2916,2,2916,1,431,1,5464,184
2916,3,2916,1,431,1,5464,184
2918,5,2918,2,432,1,6801,3
2923,3,2923,2,433,1,6210,179
2925,2,2925,1,434,1,5683,182
2928,2,2928,1,435,1,2682,5
2928,3,2928,1,435,1,2682,5
2932,3,2932,1,436,1,1775,5
2940,3,2940,2,437,1,2727,171
2942,3,2942,2,438,1,5570,203
2957,2,2957,1,439,1,2436,174
2967,3,2967,2,440,1,128,172
2967,4,2967,2,440,1,128,172
2969,3,2969,2,441,1,2432,33
2969,4,2969,2,441,1,2432,33
2973,3,2973,2,442,1,2067,188
2974,2,2974,1,443,1,5057,190
2982,3,2982,2,444,1,709,7
2982,4,2982,2,444,1,709,7
2988,3,2988,2,445,1,6200,11
2988,4,2988,2,445,1,6200,11
2995,3,2995,2,446,1,5048,35
2996,5,2996,2,447,1,1841,171
2998,3,2998,2,448,1,486,170
3002,3,3002,2,449,1,178,171
3009,3,3009,2,450,1,2893,3
3017,3,3017,2,451,1,834,174
3017,4,3017,2,451,1,834,174
3019,4,3019,2,452,1,2277,8
3023,3,3023,2,453,1,350,3
3023,4,3023,2,453,1,350,3
3028,4,3028,2,454,1,2590,32
3040,3,3040,1,455,1,2916,30
3040,4,3040,1,455,1,2916,30
3042,2,3042,1,456,1,6854,4
3043,2,0,0,1248,1,1690,174
3043,3,0,0,1248,1,1690,174
3048,4,3048,3,457,1,5613,172
3053,3,3053,1,458,1,935,4
3070,3,3070,1,459,1,6370,186
3087,3,3087,1,460,1,1954,172
3089,3,3089,2,461,1,2125,6
3099,3,3099,2,462,1,1627,30
3104,3,3104,2,463,1,5560,35
3107,3,3107,2,464,1,2280,173
3107,4,3107,2,464,1,2280,173
3113,2,3113,1,465,1,2881,32
3122,3,3122,2,466,1,263,31
3128,2,3128,1,467,1,6539,170
3129,4,3129,2,468,1,3223,2
3130,3,3130,1,469,1,2177,177
3132,3,3132,2,470,1,706,5
3135,3,3135,2,471,1,1955,170
3138,4,3138,2,472,1,1335,175
3140,3,3140,2,473,1,2285,175
3140,4,3140,2,473,1,2285,175
3145,4,3145,2,474,1,1485,3
3146,2,3146,1,475,1,6361,6
3155,4,3155,2,476,1,2416,6
3156,3,3156,2,477,1,1127,172
3159,2,3159,1,478,1,1060,31
3172,3,3172,2,479,1,1142,3
3172,4,3172,2,479,1,1142,3
3173,4,3173,2,480,1,2030,6
3182,4,3182,1,481,1,6335,4
3182,5,3182,1,481,1,6335,4
3183,3,3183,2,482,1,1233,30
3183,4,3183,2,482,1,1233,30
3190,2,3190,1,483,1,5241,30
3197,3,3197,2,484,1,2138,30
3200,2,3200,1,485,1,6706,176
3200,3,3200,1,485,1,6706,176
3208,2,3208,1,486,1,6370,31
3208,3,3208,1,486,1,6370,31
3227,3,3227,2,487,1,5898,3
3240,3,3240,2,488,1,2352,170
3240,4,3240,2,488,1,2352,170
3244,3,3244,2,489,1,1055,172
3253,3,3253,2,490,1,2323,31
3253,4,3253,2,490,1,2323,31
3254,3,3254,2,491,1,2509,3
3254,4,3254,2,491,1,2509,3
3255,3,3255,1,492,1,2129,183
3257,3,3257,2,493,1,6485,30
3260,3,3260,2,494,1,863,6
3260,4,3260,2,494,1,863,6
3261,4,3261,2,495,1,2355,174
3261,5,3261,2,495,1,2355,174
3276,4,3276,2,496,1,1762,6
3284,6,3284,1,497,1,6150,4
3286,2,3286,1,498,1,5393,171
3287,4,3287,2,499,1,1542,6
3289,3,3289,2,500,1,2895,30
3289,4,3289,2,500,1,2895,30
3292,3,3292,2,501,1,2240,30
3299,3,3299,2,502,1,1542,7
3299,4,3299,2,502,1,1542,7
3303,4,3303,2,503,1,976,172
3317,4,3317,2,504,1,998,170
3317,5,3317,2,504,1,998,170
3320,3,3320,2,505,1,2822,175
3328,4,3328,2,506,1,2106,171
3334,3,3334,2,507,1,2237,171
3336,3,3336,2,508,1,1315,30
3336,5,3336,2,508,1,1315,30
3348,3,3348,2,509,1,565,4
3348,4,3348,2,509,1,565,4
3354,2,3354,1,510,1,728,30
3357,4,3357,2,511,1,47,31
3368,6,3368,4,512,1,3110,170
3371,2,3371,1,513,1,1692,31
3379,3,3379,1,514,1,3194,1
3383,3,3383,1,515,1,5417,4
3383,4,3383,1,515,1,5417,4
3389,4,3389,2,516,1,2219,170
3391,6,3391,2,517,1,3225,2
3395,3,3395,2,518,1,1682,4
3396,2,3396,1,519,1,6853,3
3408,3,3408,2,520,1,121,173
3412,3,3412,2,521,1,6801,170
3415,4,3415,2,522,1,1092,3
3425,3,3425,2,523,1,652,173
3426,3,3426,2,524,1,1468,5
3434,3,3434,1,525,1,6684,4
3440,3,3440,2,526,1,1775,6
3440,4,3440,2,526,1,1775,6
3448,3,3448,2,527,1,1126,30
3448,4,3448,2,527,1,1126,30
3451,3,3451,2,528,1,3232,2
3454,3,3454,2,529,1,459,170
3461,3,3461,2,530,1,556,177
3463,3,3463,2,531,1,563,183
3463,4,3463,2,531,1,563,183
3465,3,3465,2,532,1,1648,172
3465,4,3465,2,532,1,1648,172
3466,3,3466,2,533,1,106,173
3466,4,3466,2,533,1,106,173
3468,3,3468,2,534,1,89,31
3471,4,3471,1,535,1,1690,30
3472,3,3472,2,536,1,613,5
3476,3,3476,2,537,1,563,40
3485,3,3485,2,538,1,1919,173
3493,3,3493,2,539,1,2080,170
3494,3,3494,2,540,1,868,6
3494,4,3494,2,540,1,868,6
3498,3,3498,1,541,1,6832,3
3500,3,3500,2,542,1,691,176
3502,2,3502,1,543,1,5820,7
3502,3,3502,1,543,1,5820,7
3504,3,3504,2,544,1,2509,177
3506,4,3506,2,545,1,2175,170
3510,2,3510,1,546,1,6724,8
3510,3,3510,1,546,1,6724,8
3547,3,3547,1,547,1,3163,2
3559,3,3559,2,548,1,2473,170
3565,2,3565,1,549,1,6053,31
3567,3,3567,2,550,1,1258,171
3567,4,3567,2,550,1,1258,171
3574,4,3574,2,551,1,2485,173
3574,5,3574,2,551,1,2485,173
3576,4,3576,2,552,1,3365,2
3580,3,3580,2,553,1,6166,40
3584,4,3584,2,554,1,2576,3
3587,3,3587,2,555,1,775,172
3588,4,3588,3,556,1,3356,3
3595,3,3595,2,557,1,465,30
3597,4,3597,2,558,1,3196,2
3605,2,3605,1,559,1,6832,33
3605,3,3605,1,559,1,6832,33
3606,3,3606,2,560,1,2510,171
3606,4,3606,2,560,1,2510,171
3608,3,3608,2,561,1,6546,182
3614,2,3614,1,562,1,6145,32
3628,3,3628,1,563,1,636,3
3629,5,3629,1,564,1,6516,176
3636,6,3636,2,565,1,3369,2
3643,2,3643,1,566,1,2108,5
3643,3,3643,1,566,1,2108,5
3646,3,3646,1,567,1,478,4
3654,2,3654,1,568,1,6231,31
3656,3,3656,2,569,1,53,217
3671,2,3671,1,570,1,5136,11
3671,3,3671,1,570,1,5136,11
3677,3,3677,2,571,1,53,191
3678,3,3678,2,572,1,1893,174
3678,4,3678,2,572,1,1893,174
3684,3,3684,2,573,1,2059,176
3689,5,3689,2,574,1,2188,5
3692,3,3692,1,575,1,846,7
