GENREL07,GENID07,GENSN07,CH07_ID,CH07_PN,PCG07_ID,PCG07_PN,OCG07_ID,OCG07_PN
4,2139,4,961,38,961,3,961,175
4,2149,4,2852,49,2852,172,2852,199
4,2157,4,5560,40,5560,30,0,0
4,2157,5,5560,41,5560,30,0,0
4,2162,2,6635,53,6635,32,0,0
4,2170,3,6166,177,6166,44,6166,184
4,2172,3,1107,34,1107,175,1107,7
4,2172,4,1107,35,1107,175,1107,7
4,2180,3,47,40,47,32,47,176
4,2190,3,1654,32,1654,3,1654,172
4,2192,3,2181,38,2181,30,2181,187
4,2198,3,5613,49,5613,8,5613,174
4,2199,3,40,38,40,182,40,172
4,2206,3,750,32,750,170,750,4
4,2208,2,7,46,7,177,0,0
4,2208,3,7,47,7,177,0,0
4,2214,4,122,36,122,173,122,4
4,2216,2,5314,35,5314,172,0,0
4,2216,3,5314,36,5314,172,0,0
4,2222,2,1460,30,1460,8,0,0
4,2223,2,729,40,729,30,0,0
4,2223,3,729,42,729,30,0,0
4,2226,2,5614,38,5614,31,0,0
4,2229,4,1399,40,1399,175,1399,4
4,2247,3,6626,39,6626,6,0,0
4,2250,3,1274,33,1274,3,1274,172
4,2255,2,5069,38,5069,31,0,0
4,2266,4,5446,32,5446,170,0,0
4,2271,3,2435,35,2435,7,2435,176
4,2277,3,946,30,946,172,0,0
4,2291,2,5458,37,5458,32,0,0
4,2305,3,1962,31,1962,176,0,0
4,2310,3,2117,32,2117,6,2117,171
4,2310,4,2117,33,2117,6,2117,171
4,2324,2,1505,30,1505,4,0,0
4,2334,2,5052,51,5052,33,0,0
4,2334,3,5052,52,5052,33,0,0
4,2346,3,1568,34,1568,32,1568,184
4,2347,4,1624,37,1624,3,1624,177
4,2348,3,5916,38,5916,8,5916,176
4,2351,2,1571,40,1571,32,1571,933
4,2353,3,853,30,853,3,853,174
4,2356,3,1807,37,1807,30,1807,176
4,2357,4,1167,43,1167,32,0,0
4,2360,2,1571,37,1571,176,0,0
4,2370,3,548,39,548,183,548,7
4,2370,4,548,40,548,183,548,7
4,2371,3,2701,49,2701,33,2701,34
4,2371,4,2701,51,2701,33,2701,34
4,2372,3,3019,3,3019,2,3019,1
4,2386,3,3233,4,3233,2,3233,1
4,2389,2,5479,31,5479,30,0,0
4,2406,3,6793,40,6793,33,6793,909
4,2407,3,620,37,620,6,620,173
4,2407,4,620,39,620,6,620,173
4,2408,3,915,35,915,172,915,3
4,2411,3,5424,34,5424,30,0,0
4,2417,2,964,35,964,173,0,0
4,2419,2,2848,43,2848,33,0,0
4,2425,1,6793,37,6793,33,6793,909
4,2425,2,6793,38,6793,33,6793,909
4,2426,3,999,32,999,170,999,3
4,2427,3,1698,173,1698,4,1698,171
4,2431,3,228,32,228,5,228,174
4,2439,4,3221,5,3221,2,3221,1
4,2440,3,2304,32,2304,4,2304,171
4,2440,4,2304,33,2304,4,2304,171
4,2450,3,3238,4,3238,2,3238,1
4,2458,3,5922,205,5922,38,0,0
4,2473,4,5379,33,5379,174,0,0
4,2474,3,6127,38,6127,178,6127,4
4,2503,3,2418,34,2418,173,2418,5
4,2504,3,563,44,563,32,563,192
4,2504,4,563,46,563,32,563,192
4,2514,3,1798,40,1798,191,1798,9
4,2524,6,5614,37,5614,170,5614,4
4,2532,4,257,39,257,174,0,0
4,2533,2,5922,206,5922,7,0,0
4,2555,2,6152,30,6152,2,0,0
4,2565,2,6588,41,6588,36,0,0
4,2569,3,1690,34,1690,170,1690,3
4,2570,2,2516,33,2516,4,0,0
4,2572,2,1315,34,1315,5,0,0
4,2572,3,1315,35,1315,5,0,0
4,2579,3,625,32,625,5,625,175
4,2581,3,368,32,368,170,368,3
4,2586,3,6765,37,6765,6,6765,172
4,2590,3,833,35,833,178,833,6
4,2603,3,2302,48,2302,201,2302,216
4,2605,4,5628,41,5628,6,5628,34
4,2606,3,846,45,846,6,0,0
4,2617,3,5057,41,5057,15,0,0
4,2651,3,257,40,257,30,257,175
4,2668,3,14,32,14,3,14,173
4,2668,4,14,33,14,3,14,173
4,2669,4,5801,35,5801,30,0,0
4,2670,2,1043,37,1043,8,0,0
4,2670,3,1043,38,1043,8,0,0
4,2676,3,2175,32,2175,171,2175,4
4,2676,4,2175,33,2175,171,2175,4
4,2681,3,2210,33,2210,30,2210,174
4,2681,4,2210,35,2210,30,2210,174
4,2682,2,5430,46,5430,30,0,0
4,2682,3,5430,53,5430,30,0,0
4,2688,3,5425,33,5425,3,5425,171
4,2688,4,5425,34,5425,3,5425,171
4,2690,2,5133,34,5133,31,0,0
4,2690,3,5133,35,5133,31,0,0
4,2696,3,3010,4,3010,2,3010,1
4,2708,3,6664,32,6664,177,0,0
4,2708,4,6664,33,6664,177,0,0
4,2714,2,1571,38,1571,30,0,0
4,2714,3,1571,39,1571,30,0,0
4,2721,3,2409,175,2409,171,2409,177
4,2730,3,6635,50,6635,171,6635,187
4,2738,4,3117,6,3117,1,0,0
4,2749,2,5048,41,5048,30,0,0
