CHILDID97,CHILDSN97,PCGID97,PCGSN97,CDSHID97,PCGINST97
2868,2,2868,1,675,1
2868,3,2868,1,675,1
2870,2,2870,1,676,1
2878,3,2878,2,677,1
2881,3,2881,2,678,1
2881,4,2881,2,678,1
2882,3,2882,2,679,1
2885,3,2885,2,680,1
2885,4,2885,2,680,1
2887,4,2887,2,681,1
2887,5,2887,2,681,1
2891,3,2891,2,682,1
2903,4,2903,2,683,1
2909,3,2909,1,684,1
2909,4,2909,1,684,1
2914,3,2914,2,685,1
2918,3,2918,2,686,1
2918,4,2918,2,686,1
2923,3,2923,2,687,1
2925,4,2925,2,688,1
2928,3,2928,1,689,1
2928,4,2928,1,689,1
2929,4,2929,2,690,1
2938,2,2938,1,691,1
2945,3,2945,2,692,1
2945,4,2945,2,692,1
2946,3,2946,2,693,1
2946,4,2946,2,693,1
2947,3,2947,2,694,1
2950,3,2950,2,695,1
2950,4,2950,2,695,1
2951,4,2951,3,696,1
2951,5,2951,3,696,1
2955,2,2955,1,697,1
