FUPREL97,FUPID97,FUPSN97,WEEKDAY,WDTDMON,WDTDDAY,WDTDYR,WDIWMON,WDIWDAY,WDIWYR,WD_DAY,WD_A1,WD_A2,WD_SAQ,WD_FTF,WD_PHONE,WEEKEND,WETDMON,WETDDAY,WETDYR,WEIWMON,WEIWDAY,WEIWYR,WE_DAY,WE_A1,WE_A2,WE_SAQ,WE_FTF,WE_PHONE
3,1115,4,1,3,26,1997,3,26,1997,3,2,2,1,1,1,1,3,23,1997,3,31,1997,6,2,3,1,1,1
3,1362,3,1,5,16,1997,5,19,1997,5,1,2,5,5,5,1,5,17,1997,5,19,1997,6,1,4,1,5,5
3,1362,4,1,5,16,1997,5,19,1997,5,1,2,1,5,5,1,5,17,1997,5,19,1997,6,1,4,1,5,5
3,3267,3,1,5,28,1997,5,30,1997,3,3,2,5,1,5,1,5,31,1997,6,18,1997,6,1,1,1,5,1
3,468,3,1,3,17,1997,3,23,1997,1,3,2,1,1,5,1,3,23,1997,3,23,1997,6,3,3,5,1,5
3,2930,3,1,4,28,1997,4,28,1997,1,1,3,5,5,1,1,4,99,1997,4,28,1997,6,1,3,5,5,1
3,1802,4,1,4,11,1997,4,14,1997,5,3,2,1,1,5,1,4,13,1997,4,14,1997,7,3,1,1,1,5
3,3180,5,1,4,18,1997,4,30,1997,5,1,1,1,5,5,1,4,20,1997,4,30,1997,7,1,1,1,5,5
3,3180,6,1,4,18,1997,4,30,1997,5,1,1,1,5,5,1,4,20,1997,4,30,1997,7,1,1,1,5,5
3,1046,3,1,3,20,1997,3,22,1997,4,2,3,9,9,9,1,3,16,1997,3,22,1997,7,1,1,9,9,9
3,1046,4,1,3,20,1997,3,22,1997,4,2,3,9,9,9,1,3,16,1997,3,22,1997,7,1,1,9,9,9
3,1863,3,1,4,18,1997,4,21,1997,5,1,2,1,1,5,1,4,20,1997,4,21,1997,7,1,2,1,1,5
3,918,3,1,6,11,1997,99,99,9999,3,1,2,9,9,9,1,99,99,9999,99,99,9999,7,9,9,9,9,9
3,1932,3,1,3,27,1997,3,29,1997,4,1,2,5,1,5,1,3,22,1997,3,29,1997,6,1,2,5,1,5
3,1932,4,1,3,27,1997,3,29,1997,4,1,2,5,1,5,1,3,22,1997,3,22,1997,6,1,2,5,1,5
