HCDREL97,HCDID97,HCDSN97,Q11T1,Q11COLA,Q11COLB,Q11COLC,Q11COLD,Q11COLF,Q11COLGA,Q11COLGB,Q11COLGC,Q11COLGD,Q11COLGE,Q11COLGF,Q11COLGG,Q11COLGH,Q11COLGI,Q11COLGJ,Q11COLGK,Q11COLHA,Q11COLHB,Q11COLHC,Q11COLHD,Q11COLHE,Q11COLHF,Q11COLHG,Q11COLHH,Q11COLHI,Q11COLHJ,Q11COLHK,Q11COLJ
2,1938,3,4,919,32400,28800,2,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1938,3,4,877,36000,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1938,3,4,449,43200,28800,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1938,3,4,469,46800,28800,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1938,3,4,939,54000,28800,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2204,3,3,197,27900,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2204,3,3,877,28800,28800,0,40,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,2204,3,3,449,32400,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2204,3,3,488,34200,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,877
2,2204,3,3,469,36000,28800,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2204,3,3,877,39600,28800,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2204,3,3,449,42600,28800,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,2204,3,3,877,45000,28800,0,40,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
