CHLDID02,CHLDSN02,PCGID02,PCGSN02,CDSHID02,PCGINST02,PCG68ID02,PCGPN02
1234,3,1234,2,250,1,5576,172
1234,4,1234,2,250,1,5576,172
1239,3,1239,2,251,1,263,31
1240,2,1240,1,252,1,5306,170
1242,2,1242,1,253,1,5621,9
1245,3,1245,2,254,1,915,4
1245,4,1245,2,254,1,915,4
1247,3,1247,2,255,1,915,5
1247,4,1247,2,255,1,915,5
1249,2,1249,1,256,1,5145,2
1249,3,1249,1,256,1,5145,2
1253,3,1253,2,257,1,2566,30
1253,4,1253,2,257,1,2566,30
1256,3,1256,2,258,1,2486,31
1268,3,1268,1,259,1,840,21
1268,4,1268,2,259,2,840,190
1282,3,1282,2,260,1,6735,3
1289,3,1289,2,261,1,5570,181
1293,4,1293,2,262,1,3163,2
1303,2,1303,1,263,1,1460,8
1309,3,1309,2,264,1,2354,5
1309,4,1309,2,264,1,2354,5
1313,3,1313,2,265,1,6680,4
1318,2,1318,1,266,1,5170,7
1329,3,1329,2,267,1,1612,170
1336,4,1336,2,268,1,2164,3
1337,2,1337,1,269,1,1376,170
1339,2,1339,1,270,1,5449,31
1344,3,1344,2,271,1,2591,178
1355,5,1355,2,272,1,5925,170
1355,6,1355,2,272,1,5925,170
1356,2,1356,1,273,1,5287,177
1363,3,1363,2,274,1,2299,171
1363,4,1363,2,274,1,2299,171
1364,3,1364,1,275,1,1121,3
1372,3,1372,2,276,1,2304,4
1372,4,1372,2,276,1,2304,4
1378,2,1378,1,277,1,1633,170
1378,3,1378,1,277,1,1633,170
1383,3,1383,2,278,1,819,172
1383,4,1383,2,278,1,819,172
1385,3,1385,1,279,1,2397,173
1385,4,1385,1,279,1,2397,173
1388,4,1388,1,280,1,1810,3
1390,3,1390,2,281,1,620,6
1390,4,1390,2,281,1,620,6
1391,4,1391,2,282,1,620,4
1391,5,1391,2,282,1,620,4
1392,3,1392,2,283,1,2530,4
1392,4,1392,2,283,1,2530,4
1396,3,1396,2,284,1,777,173
1398,3,1398,2,285,1,5569,171
1398,4,1398,2,285,1,5569,171
1404,3,1404,1,286,1,6051,3
1404,4,1404,1,286,1,6051,3
1407,3,1407,2,287,1,6541,179
1408,2,1408,1,288,1,5922,192
1409,3,1409,2,289,1,5774,170
1409,4,1409,2,289,1,5774,170
1413,3,1413,2,290,1,1192,3
1413,4,1413,2,290,1,1192,3
1422,4,1422,2,291,1,2352,170
1422,5,1422,2,291,1,2352,170
1423,3,1423,2,292,1,534,31
1425,3,1425,1,293,1,2848,10
1425,4,1425,1,293,1,2848,10
1428,4,1428,2,294,1,452,177
1436,3,1436,2,295,1,893,170
1436,4,1436,2,295,1,893,170
1448,4,1448,2,296,1,5,170
1449,3,1449,2,297,1,45,179
1450,3,1450,2,298,1,2509,6
1450,4,1450,2,298,1,2509,6
1458,3,1458,2,299,1,2880,5
1458,4,1458,2,299,1,2880,5
1460,2,1460,1,300,1,5995,170
1460,4,1460,1,300,1,5995,170
1468,3,1468,2,301,1,61,172
1469,3,1469,2,302,1,89,31
1474,2,1474,1,303,1,6822,4
1484,4,1484,2,304,1,2244,170
1486,2,1486,1,305,1,2128,171
1486,3,1486,1,305,1,2128,171
1487,4,1487,2,306,1,173,5
1487,5,1487,2,306,1,173,5
1490,2,1490,1,307,1,2848,176
1490,3,1490,1,307,1,2848,176
1491,3,1491,2,308,1,2847,31
1493,3,1493,2,309,1,1397,171
1493,5,1493,2,309,1,1397,171
1500,2,1500,1,310,1,1960,177
1500,3,1500,1,310,1,1960,177
1508,3,1508,2,311,1,266,30
1509,2,1509,1,312,1,935,4
1509,3,1509,1,312,1,935,4
1513,2,1513,1,313,1,6381,176
1513,3,1513,1,313,1,6381,176
1515,2,1515,1,314,1,722,32
1522,2,1522,1,315,1,5995,5
1522,3,1522,1,315,1,5995,5
1523,3,1523,2,316,1,1663,6
1525,3,1525,2,317,1,1839,174
1525,5,1525,2,317,1,1839,174
1530,3,1530,2,318,1,5922,7
1534,3,1534,2,319,1,3397,2
1543,3,1543,2,320,1,2672,5
1543,4,1543,2,320,1,2672,5
1548,5,1548,3,321,1,3282,3
1548,7,1548,3,321,1,3282,3
1556,3,1556,2,322,1,2673,3
1563,3,1563,2,323,1,2411,4
1563,4,1563,2,323,1,2411,4
1564,5,1564,2,324,1,2143,3
1600,3,1600,2,325,1,377,4
1600,4,1600,2,325,1,377,4
1602,4,1602,2,326,1,2526,4
1604,3,1604,2,327,1,3348,5
1605,4,1605,2,328,1,3176,2
1605,5,1605,2,328,1,3176,2
1615,6,1615,2,329,1,1802,170
1617,2,1617,1,330,1,664,175
1617,3,1617,1,330,1,664,175
1621,3,1621,2,331,1,6112,173
1621,4,1621,2,331,1,6112,173
1622,3,1622,2,332,1,5621,177
1627,3,1627,2,333,1,2201,172
1627,4,1627,2,333,1,2201,172
1633,2,1633,1,334,1,1610,30
1636,3,1636,2,335,1,2893,3
1636,4,1636,2,335,1,2893,3
1637,4,1637,1,336,1,6801,3
1640,5,1640,2,337,1,898,5
1645,3,1645,2,338,1,1955,170
1646,5,1646,4,339,1,5613,172
1653,4,1653,1,340,1,3021,1
1654,3,1654,2,341,1,1210,171
1663,5,1663,3,342,1,5534,30
1664,3,1664,1,343,1,5969,174
1667,3,1667,2,344,1,6765,6
1670,2,1670,1,345,1,6519,30
1670,3,1670,1,345,1,6519,30
1680,4,1680,2,346,1,1522,8
1680,5,1680,2,346,1,1522,8
1684,2,1684,1,347,1,6396,3
1684,3,1684,1,347,1,6396,3
1686,4,1686,2,348,1,6250,7
1687,3,1687,1,349,1,6210,6
1687,4,1687,2,349,2,6210,179
1690,3,1690,2,350,1,1233,30
1690,4,1690,2,350,1,1233,30
1694,3,1694,1,351,1,2848,6
1694,4,1694,1,351,1,2848,6
1700,3,1700,1,352,1,5576,30
1704,3,1704,2,353,1,1213,4
1709,3,1709,2,354,1,45,30
1711,3,1711,2,355,1,1954,170
1711,4,1711,2,355,1,1954,170
1713,3,1713,2,356,1,1954,172
1713,4,1713,2,356,1,1954,172
