GENREL02,GENID01,GENSN01,CH_ID68,CH_PN,OCG_ID68,OCG_PN,PCG_ID68,PCG_PN
3,1523,3,1663,46,1663,176,1663,6
3,1525,3,1839,36,1839,30,1839,174
3,1525,5,1839,38,1839,30,1839,174
3,1530,3,5922,206,0,0,5922,7
3,1534,3,3397,3,3397,1,3397,2
3,1543,3,2672,31,2672,170,2672,5
3,1543,4,2672,32,2672,170,2672,5
3,1548,5,3282,5,3282,1,3282,3
3,1548,7,3282,7,3282,1,3282,3
3,1556,3,2673,174,2673,172,2673,3
3,1563,3,2411,171,2411,170,2411,4
3,1563,4,2411,172,2411,170,2411,4
3,1564,5,2143,32,2143,170,2143,3
3,1600,3,377,30,377,170,377,4
3,1600,4,377,31,377,170,377,4
3,1602,4,2526,33,2526,171,2526,4
3,1604,3,3348,6,3348,172,3348,5
3,1605,4,3176,4,3176,1,3176,2
3,1605,5,3176,5,3176,1,3176,2
3,1615,6,1802,33,0,0,1802,170
3,1617,2,664,32,0,0,664,175
3,1617,3,664,34,0,0,664,175
3,1621,3,6112,36,6112,200,6112,173
3,1621,4,6112,35,6112,200,6112,173
3,1622,3,5621,34,5621,6,5621,177
3,1627,3,2201,173,2201,3,2201,172
3,1627,4,2201,30,2201,3,2201,172
3,1633,2,1610,31,0,0,1610,30
3,1636,3,2893,177,2893,176,2893,3
3,1636,4,2893,31,2893,176,2893,3
3,1637,4,6801,39,6801,32,6801,3
3,1640,5,898,35,898,185,898,5
3,1645,3,1955,30,1955,3,1955,170
3,1646,5,5613,48,5613,3,5613,172
3,1653,4,3021,4,3021,2,3021,1
3,1654,3,1210,31,1210,173,1210,171
3,1663,5,5534,32,5534,170,5534,30
3,1664,3,5969,34,5969,5,5969,174
3,1667,3,6765,37,6765,172,6765,6
3,1670,2,6519,38,0,0,6519,30
3,1670,3,6519,40,0,0,6519,30
3,1680,4,1522,36,1522,174,1522,8
3,1680,5,1522,40,1522,174,1522,8
3,1684,2,6396,30,0,0,6396,3
3,1684,3,6396,31,0,0,6396,3
3,1686,4,6250,34,6250,174,6250,7
3,1687,3,6210,35,6210,179,6210,6
3,1687,4,6210,37,6210,6,6210,179
3,1690,3,1233,34,1233,173,1233,30
3,1690,4,1233,35,1233,173,1233,30
3,1694,3,2848,38,0,0,2848,6
3,1694,4,2848,43,0,0,2848,6
3,1700,3,5576,176,5576,177,5576,30
3,1704,3,1213,31,1213,177,1213,4
3,1709,3,45,34,45,184,45,30
3,1711,3,1954,30,1954,3,1954,170
3,1711,4,1954,31,1954,3,1954,170
3,1713,3,1954,171,0,0,1954,172
3,1713,4,1954,33,0,0,1954,172
3,1714,3,1947,30,1947,170,1947,3
3,1715,3,2047,30,2047,170,2047,5
3,1715,4,2047,31,2047,170,2047,5
3,1718,3,2022,30,2022,3,2022,170
3,1718,4,2022,31,2022,3,2022,170
3,1719,2,6335,37,0,0,6335,31
3,1723,4,706,177,706,175,706,5
3,1724,3,2238,31,2238,3,2238,170
3,1724,4,2238,33,2238,3,2238,170
3,1728,2,1823,34,1823,176,1823,171
3,1730,3,89,34,89,170,89,3
3,1737,4,2271,32,2271,170,2271,3
3,1737,5,2271,35,2271,170,2271,3
3,1738,3,1142,34,1142,174,1142,171
3,1738,4,1142,33,1142,174,1142,171
3,1747,3,1682,33,1682,174,1682,4
3,1752,4,1613,39,1613,175,1613,7
3,1752,5,1613,42,1613,175,1613,7
3,1756,3,2251,35,2251,171,2251,3
3,1761,3,1399,37,1399,4,1399,175
3,1761,4,1399,40,1399,4,1399,175
3,1762,2,691,30,0,0,691,171
3,1762,3,691,32,0,0,691,171
3,1764,3,1919,43,0,0,1919,175
3,1764,4,1919,45,0,0,1919,175
3,1767,5,2250,44,2250,4,2250,170
3,1771,2,704,30,704,907,704,3
3,1771,3,704,31,704,907,704,3
3,1780,5,6335,35,6335,32,6335,4
3,1780,6,6335,36,6335,32,6335,4
3,1782,3,6839,35,6839,8,6839,172
3,1793,2,6765,33,0,0,6765,4
3,1793,3,6765,35,0,0,6765,4
3,1796,3,1732,30,0,0,1732,8
3,1796,4,1732,31,0,0,1732,8
3,1799,3,6822,177,0,0,6822,176
3,1799,4,6822,32,0,0,6822,176
3,1800,3,90,30,90,4,90,171
3,1812,4,5379,32,5379,171,5379,174
3,1812,5,5379,33,5379,171,5379,174
3,1814,3,2831,32,2831,4,2831,171
3,1814,4,2831,33,2831,4,2831,171
3,1818,2,2195,181,0,0,2195,180
3,1819,2,1399,36,0,0,1399,6
3,1821,2,452,38,452,190,452,30
3,1823,4,1919,44,1919,174,1919,9
3,1823,5,1919,46,1919,174,1919,9
3,1827,3,2297,34,2297,30,2297,174
3,1836,4,5613,49,5613,174,5613,8
3,1840,3,935,31,935,176,935,3
3,1840,4,935,32,935,176,935,3
3,1843,2,840,42,0,0,840,38
3,1846,3,495,35,495,175,495,33
3,1846,4,495,34,495,175,495,33
3,1853,2,2516,32,0,0,2516,4
3,1853,3,2516,33,0,0,2516,4
3,1859,4,2661,40,2661,5,2661,176
3,1866,3,2055,31,2055,174,2055,5
3,1866,4,2055,33,2055,174,2055,5
3,1867,3,2055,34,2055,4,2055,181
3,1874,3,1571,40,0,0,1571,32
3,1876,3,1908,32,0,0,1908,174
3,1876,4,1908,33,0,0,1908,174
3,1878,3,53,38,53,215,53,9
3,1878,4,53,40,53,215,53,9
3,1883,3,1695,46,0,0,1695,11
3,1887,3,1107,34,1107,7,1107,175
3,1887,4,1107,35,1107,7,1107,175
3,1889,2,654,32,0,0,654,30
3,1889,3,654,33,0,0,654,30
3,1890,6,3147,6,0,0,3147,2
3,1892,3,508,31,508,172,508,4
3,1892,4,508,32,508,172,508,4
3,1893,3,3161,3,3161,1,3161,2
3,1894,3,6707,34,0,0,6707,3
3,1902,3,2516,31,0,0,2516,170
3,1903,2,1038,32,0,0,1038,3
3,1906,3,818,30,818,171,818,4
3,1906,5,818,32,818,171,818,4
3,1907,4,414,38,414,172,414,5
3,1912,4,308,37,0,0,308,3
3,1914,2,844,32,0,0,844,170
3,1914,3,844,33,0,0,844,170
3,1920,3,922,36,922,172,922,5
3,1921,4,1399,38,1399,177,1399,7
3,1921,5,1399,39,1399,177,1399,7
3,1923,4,5714,32,5714,175,5714,2
3,1923,5,5714,33,5714,175,5714,2
3,1925,3,1901,172,1901,1,1901,2
3,1926,2,5814,39,0,0,5814,31
3,1926,4,5814,186,0,0,5814,31
3,1929,2,2526,34,0,0,2526,30
3,1930,3,3345,3,0,0,3345,1
3,1930,5,3345,5,0,0,3345,1
3,1948,4,2053,31,2053,3,2053,172
3,1953,3,856,35,856,175,856,5
3,1953,4,856,38,856,175,856,5
3,1959,3,2509,39,2509,176,2509,3
3,1959,4,2509,41,2509,176,2509,3
3,1965,3,2621,34,2621,174,2621,30
3,1968,3,673,32,673,1,673,172
3,1968,4,673,174,673,1,673,172
3,1969,2,3205,2,3205,170,3205,1
3,1975,2,5570,47,0,0,5570,31
3,1979,2,6780,174,0,0,6780,6
3,1989,2,6229,31,0,0,6229,5
3,1989,3,6229,32,0,0,6229,5
3,1992,3,126,30,126,177,126,3
3,1994,3,2515,38,2515,191,2515,31
3,1994,4,2515,41,2515,191,2515,31
3,1998,3,2848,36,2848,186,2848,174
3,1998,4,2848,175,2848,186,2848,174
3,2004,2,1634,32,0,0,1634,172
3,2004,3,1634,33,0,0,1634,172
3,2007,3,3309,3,3309,1,3309,2
3,2007,4,3309,4,3309,1,3309,2
3,2012,3,220,30,220,2,220,170
